order_item_id,order_id,product_id,quantity,unit_price
1,1,100,5,406.78
2,2,56,5,100.13
3,2,34,1,47.23
4,2,44,5,285.9
5,2,71,3,1438.68
6,2,35,3,108.29
7,3,90,1,196.41
8,4,9,2,173.29
9,4,19,3,2474.09
10,5,53,4,118.37
11,5,57,2,229.98
12,6,8,1,2323.72
13,6,70,1,652.61
14,6,10,5,335.45
15,7,69,5,229.12
16,7,10,3,335.45
17,8,1,5,2486.58
18,9,43,4,198.29
19,9,17,1,1526.07
20,10,43,2,198.29
21,10,31,5,34.93
22,10,40,3,104.88
23,10,27,1,22.89
24,10,58,3,54.3
25,11,86,1,320.34
26,11,41,5,163.07
27,11,64,2,1449.02
28,11,92,4,722.69
29,12,77,5,569.85
30,12,44,4,285.9
31,12,50,4,128.37
32,12,78,1,51.16
33,12,26,4,39.62
34,13,58,1,54.3
35,13,70,4,652.61
36,13,97,5,472.78
37,13,40,4,104.88
38,13,31,2,34.93
39,14,12,5,164.08
40,15,22,4,106.15
41,15,51,1,258.18
42,15,3,4,2001.8
43,15,6,1,1762.94
44,16,92,3,722.69
45,16,86,2,320.34
46,16,84,1,995.5
47,17,55,3,237.4
48,17,58,4,54.3
49,17,48,1,53.88
50,17,20,2,1351.86
51,18,84,4,995.5
52,18,79,1,1147.75
53,18,25,4,111.24
54,18,88,4,945.76
55,18,9,3,173.29
56,19,39,5,25.85
57,19,43,5,198.29
58,19,74,1,1410.99
59,19,29,5,65.69
60,20,97,2,472.78
61,20,100,1,406.78
62,20,78,1,51.16
63,20,55,4,237.4
64,21,56,2,100.13
65,21,32,5,34.13
66,22,13,3,787.15
67,22,72,3,961.53
68,22,25,3,111.24
69,22,16,2,771.55
70,23,17,5,1526.07
71,23,69,3,229.12
72,24,36,4,68.07
73,24,64,2,1449.02
74,24,81,2,168.41
75,24,90,4,196.41
76,24,51,5,258.18
77,25,22,1,106.15
78,26,8,4,2323.72
79,26,47,2,271.47
80,26,18,5,1205.84
81,27,55,2,237.4
82,27,3,3,2001.8
83,27,77,5,569.85
84,27,40,5,104.88
85,28,22,5,106.15
86,28,21,2,42.25
87,28,33,3,109.57
88,28,26,2,39.62
89,28,4,4,639.2
90,29,67,1,1158.43
91,29,76,4,584.43
92,29,92,3,722.69
93,30,99,1,605.89
94,30,22,3,106.15
95,30,21,3,42.25
96,30,10,4,335.45
97,31,71,3,1438.68
98,31,20,1,1351.86
99,31,21,2,42.25
100,31,77,5,569.85
101,31,83,3,485.25
102,32,87,4,284.16
103,32,50,1,128.37
104,33,15,1,1519.61
105,33,13,3,787.15
106,33,23,2,29.97
107,33,12,1,164.08
108,34,12,5,164.08
109,34,93,1,59.6
110,34,61,3,331.41
111,35,42,3,101.51
112,36,100,4,406.78
113,36,9,4,173.29
114,36,36,2,68.07
115,36,54,3,111.49
116,36,39,5,25.85
117,37,71,2,1438.68
118,37,95,1,888.59
119,37,77,2,569.85
120,38,37,5,49.66
121,38,14,3,2380.98
122,38,53,5,118.37
123,38,27,2,22.89
124,38,40,2,104.88
125,39,45,2,91.61
126,39,75,3,145.64
127,39,97,1,472.78
128,40,95,3,888.59
129,40,5,2,2485.15
130,40,74,1,1410.99
131,40,45,1,91.61
132,40,57,3,229.98
133,41,99,4,605.89
134,41,86,3,320.34
135,41,34,3,47.23
136,41,38,3,113.99
137,41,54,5,111.49
138,42,34,2,47.23
139,42,62,1,1057.61
140,42,39,3,25.85
141,42,98,2,644.19
142,42,6,4,1762.94
143,43,53,3,118.37
144,43,84,5,995.5
145,43,89,4,720.6
146,43,37,5,49.66
147,44,78,3,51.16
148,45,80,3,959.3
149,45,35,3,108.29
150,45,45,4,91.61
151,45,26,1,39.62
152,46,98,5,644.19
153,47,58,5,54.3
154,47,29,4,65.69
155,48,52,5,273.5
156,48,60,1,192.04
157,48,37,1,49.66
158,49,9,1,173.29
159,49,21,5,42.25
160,50,97,5,472.78
161,50,15,5,1519.61
162,51,85,3,25.57
163,52,35,1,108.29
164,52,77,3,569.85
165,53,5,4,2485.15
166,53,91,2,97.75
167,53,44,4,285.9
168,54,10,3,335.45
169,54,46,5,237.16
170,54,54,5,111.49
171,54,61,1,331.41
172,54,21,4,42.25
173,55,56,3,100.13
174,55,92,4,722.69
175,55,30,1,26.9
176,55,37,5,49.66
177,55,82,2,882.73
178,56,36,5,68.07
179,56,15,4,1519.61
180,56,21,4,42.25
181,56,16,4,771.55
182,56,93,1,59.6
183,57,15,2,1519.61
184,57,6,4,1762.94
185,57,92,4,722.69
186,57,3,5,2001.8
187,57,86,1,320.34
188,58,49,1,93.89
189,58,24,1,91.53
190,58,48,1,53.88
191,58,34,3,47.23
192,58,74,3,1410.99
193,59,87,5,284.16
